sample,val
30.339321,18.070027
30.439122,8.962740
30.538922,2.460683
30.638723,9.346981
30.738523,6.750379
30.838323,8.596517
30.938124,4.717329
31.037924,5.686493
31.137725,5.382462
31.237525,7.997415
31.337325,4.184447
31.437126,2.500627
31.536926,7.411470
31.636727,4.400699
31.736527,3.724094
31.836327,2.590954
31.936128,5.748494
32.035928,2.118394
32.135729,2.931916
32.235529,7.933762
32.335329,4.626879
32.435130,3.099808
32.534930,3.023421
32.634731,3.232839
32.734531,7.348901
32.834331,3.255771
32.934132,3.959230
33.033932,11.683274
33.133733,5.120188
33.233533,1.336964
33.333333,1.467462
33.433134,8.102988
33.532934,1.387009
33.632735,4.261388
33.732535,16.515695
33.832335,7.330539
33.932136,1.987587
34.031936,9.736307
34.131737,7.129618
34.231537,7.266959
34.331337,24.244639
34.431138,2.812418
34.530938,17.326260
34.630739,94.960651
34.730539,62.638468
34.830339,30.504912
34.930140,30.760021
35.029940,47.904320
35.129741,1.430252
35.229541,12.581409
35.329341,36.954837
35.429142,9.501443
35.528942,1.526317
35.628743,10.388871
35.728543,5.544444
35.828343,12.078941
35.928144,1.083073
36.027944,5.589757
36.127745,15.847691
36.227545,5.096119
36.327345,1.199088
36.427146,2.102345
36.526946,4.044053
36.626747,0.644305
36.726547,3.041190
36.826347,9.303013
36.926148,2.382520
37.025948,1.058836
37.125749,3.748570
37.225549,2.548963
37.325349,2.264096
37.425150,2.239204
37.524950,4.570824
37.624750,0.314069
37.724551,2.519527
37.824351,7.037448
37.924152,2.081091
38.023952,1.122407
38.123752,1.235375
38.223553,1.939392
38.323353,0.448021
38.423154,2.130183
38.522954,5.034324
38.622754,1.112233
38.722555,0.897398
38.822355,2.058768
38.922156,1.580612
39.021956,2.857657
39.121756,0.682898
39.221557,2.196959
39.321357,4.481613
39.421158,1.410940
39.520958,0.765044
39.620758,1.144193
39.720559,0.718705
39.820359,0.804349
39.920160,1.700218
40.019960,3.852660
40.119760,0.801823
40.219561,0.803420
40.319361,1.630111
40.419162,1.265433
40.518962,1.188918
40.618762,2.153547
40.718563,0.257563
40.818363,1.631175
40.918164,3.830534
41.017964,1.242483
41.117764,0.971176
41.217565,0.667573
41.317365,0.721546
41.417166,0.441854
41.516966,1.607159
41.616766,2.669803
41.716567,0.539700
41.816367,0.741484
41.916168,1.068217
42.015968,1.039303
42.115768,1.690466
42.215569,0.719685
42.315369,2.000021
42.415170,2.485934
42.514970,0.855267
42.614770,0.521911
42.714571,0.842092
42.814371,0.478284
42.914172,0.679532
43.013972,1.546707
43.113772,2.433326
43.213573,0.500855
43.313373,0.590652
43.413174,0.883984
43.512974,0.901920
43.612774,0.872729
43.712575,1.270742
43.812375,0.173710
43.912176,1.385820
44.011976,2.260004
44.111776,0.646235
44.211577,0.649493
44.311377,0.724610
44.411178,0.464265
44.510978,0.619315
44.610778,2.019315
44.710579,2.349555
44.810379,0.685978
44.910180,0.513384
45.009980,0.763202
45.109780,0.908573
45.209581,1.184400
45.309381,0.497668
45.409182,1.400792
45.508982,1.861659
45.608782,0.616450
45.708583,0.512609
45.808383,0.839817
45.908184,0.782854
46.007984,0.719906
46.107784,1.332918
46.207585,2.014219
46.307385,0.418371
46.407186,0.528909
46.506986,0.703075
46.606786,0.812603
46.706587,0.802881
46.806387,1.066435
46.906188,0.167496
47.005988,1.277161
47.105788,2.329054
47.205589,0.891113
47.305389,0.788150
47.405190,0.470530
47.504990,0.785748
47.604790,0.475656
47.704591,1.412876
47.804391,1.496896
47.904192,0.428180
48.003992,0.542027
48.103792,0.396677
48.203593,0.743210
48.303393,0.936633
48.403194,0.541709
48.502994,1.669379
48.602794,1.255898
48.702595,0.499996
48.802395,0.450164
48.902196,0.823038
49.001996,0.956284
49.101796,0.775661
49.201597,1.456386
49.301397,1.604412
49.401198,0.401307
49.500998,0.463651
49.600798,0.363901
49.700599,0.720894
49.800399,0.726332
49.900200,0.000049
