sample,val
12.175649,2.362122
12.275449,2.455174
12.375250,2.554848
12.475050,2.661911
12.574850,2.777278
12.674651,2.901959
12.774451,3.037193
12.874251,3.184449
12.974052,3.345425
13.073852,3.522267
13.173653,3.717507
13.273453,3.934279
13.373253,4.176485
13.473054,4.449083
13.572854,4.758327
13.672655,5.112435
13.772455,5.522224
13.872255,6.002380
13.972056,6.573252
14.071856,7.263947
14.171657,8.117584
14.271457,9.200880
14.371257,10.622899
14.471058,12.575007
14.570858,15.426536
14.670659,19.994414
14.770459,28.516293
14.870259,50.114687
14.970060,215.546396
15.069860,91.609573
15.169661,37.374542
15.269461,23.292180
15.369261,16.805185
15.469062,13.064487
15.568862,10.623814
15.668663,8.900255
15.768463,7.613633
15.868263,6.612570
15.968064,5.807973
16.067864,5.144041
16.167665,4.583944
16.267465,4.102403
16.367265,3.681412
16.467066,3.307814
16.566866,2.971678
16.666667,2.665353
16.766467,2.382881
16.866267,2.119365
16.966068,1.870820
17.065868,1.633886
17.165669,1.405657
17.265469,1.183552
17.365269,0.965217
17.465070,0.748430
17.564870,0.531051
17.664671,0.310953
17.764471,0.085880
17.864271,0.146518
17.964072,0.388837
18.063872,0.644030
18.163673,0.915461
18.263473,1.207138
18.363273,1.523888
18.463074,1.871630
18.562874,2.257873
18.662675,2.692167
18.762475,3.187100
18.862275,3.759558
18.962076,4.432805
19.061876,5.239936
19.161677,6.229698
19.261477,7.477073
19.361277,9.103896
19.461078,11.322042
19.560878,14.535973
19.660679,19.625831
19.760479,28.938507
19.860279,51.526114
19.960080,186.961985
20.059880,128.997526
20.159681,49.990702
20.259481,31.748470
20.359281,23.634633
20.459082,19.044379
20.558882,16.090617
20.658683,14.029891
20.758483,12.510066
20.858283,11.342731
20.958084,10.417991
21.057884,9.667423
21.157685,9.046183
21.257485,8.523660
21.357285,8.078235
21.457086,7.694214
21.556886,7.359945
21.656687,7.066553
21.756487,6.807180
21.856287,6.576467
21.956088,6.370130
22.055888,6.184724
22.155689,6.017437
22.255489,5.865958
22.355289,5.728366
22.455090,5.603067
22.554890,5.488704
22.654691,5.384115
22.754491,5.288346
22.854291,5.200538
22.954092,5.119998
23.053892,5.046055
23.153693,4.978188
23.253493,4.915926
23.353293,4.858846
23.453094,4.806583
23.552894,4.758831
23.652695,4.715288
23.752495,4.675732
23.852295,4.639923
23.952096,4.607692
24.051896,4.578862
24.151697,4.553291
24.251497,4.530852
24.351297,4.511449
24.451098,4.494973
24.550898,4.481352
24.650699,4.470536
24.750499,4.462464
24.850299,4.457097
24.950100,4.454434
25.049900,4.454434
25.149701,4.457097
25.249501,4.462464
25.349301,4.470536
25.449102,4.481352
25.548902,4.494973
25.648703,4.511449
25.748503,4.530852
25.848303,4.553291
25.948104,4.578862
26.047904,4.607692
26.147705,4.639923
26.247505,4.675732
26.347305,4.715288
26.447106,4.758831
26.546906,4.806583
26.646707,4.858846
26.746507,4.915926
26.846307,4.978188
26.946108,5.046055
27.045908,5.119998
27.145709,5.200538
27.245509,5.288346
27.345309,5.384115
27.445110,5.488704
27.544910,5.603067
27.644711,5.728366
